DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
PV2014_2016_10A0586,66977,0.500000,Transmission,Mk10,Percent,23:00:00 02-Sep-2014,15.000000,9,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Transmission,Mk10,Percent,00:00:00 03-Sep-2014,15.000000,9,,,,,24,,20,10,20,10,10,10,20,10,20,20,40,60,20,90,98,60,20,20,20,80,100,70,80,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Transmission,Mk10,Percent,00:00:00 04-Sep-2014,16.000000,8,,,,,24,,10,50,50,10,10,10,10,20,20,20,70,70,30,20,30,40,30,20,20,80,80,100,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Transmission,Mk10,Percent,00:00:00 05-Sep-2014,17.000000,6,,,,,24,,20,10,10,10,10,20,20,10,20,20,40,40,20,40,50,20,20,20,20,20,98,50,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Transmission,Mk10,Percent,00:00:00 06-Sep-2014,18.000000,10,,,,,24,,10,10,10,10,10,20,10,20,20,20,10,10,10,10,20,20,20,20,80,98,98,70,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Transmission,Mk10,Percent,00:00:00 07-Sep-2014,19.000000,4,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,30,90,100,80,100,80,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Transmission,Mk10,Percent,00:00:00 08-Sep-2014,20.000000,2,,,,,24,,70,98,50,10,10,10,10,70,100,60,10,10,10,20,20,10,70,100,100,50,10,20,90,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Transmission,Mk10,Percent,00:00:00 09-Sep-2014,20.000000,6,,,,,24,,100,98,100,100,100,100,100,20,10,20,20,20,20,50,60,98,100,100,80,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Transmission,Mk10,Percent,00:00:00 10-Sep-2014,21.000000,5,,,,,24,,100,100,100,100,100,98,20,20,20,20,20,20,20,10,20,20,20,80,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Transmission,Mk10,Percent,00:00:00 11-Sep-2014,22.000000,8,,,,,24,,98,98,100,80,30,10,10,10,20,20,20,20,20,20,20,20,20,20,10,30,98,100,90,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
