DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
EB2005_5952_04L0041,53607,,Splash,02:00:00 21-Oct-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 21-Oct-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 22-Oct-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 23-Oct-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 23-Oct-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 24-Oct-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 24-Oct-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 25-Oct-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 26-Oct-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 26-Oct-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 28-Oct-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 28-Oct-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 29-Oct-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 29-Oct-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 30-Oct-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 31-Oct-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 31-Oct-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 01-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 01-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 02-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 02-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 02-Nov-2005,,,,0.000000,0.000000,Status,,,
