DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
PV2005_0265_05L0070,58032,,Transmission,Splash,TAT,06:00:00 14-Mar-2006,-10.000000,1,0,,,,7,100,0,0,0,0,10,82.9,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2005_0265_05L0070,58032,,Transmission,Splash,TAD,00:00:00 17-Sep-2005,-2.000000,2,0,,,,10,100,79.5,20.5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2005_0265_05L0070,58032,,Transmission,Splash,TAD,06:00:00 17-Sep-2005,-2.000000,1,0,,,,10,100,36.3,63.7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2005_0265_05L0070,58032,,Transmission,Splash,TAD,12:00:00 17-Sep-2005,-2.000000,1,0,,,,10,100,91.9,8.1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2005_0265_05L0070,58032,,Transmission,Splash,TAD,18:00:00 17-Sep-2005,-2.000000,2,0,,,,10,100,60.2,39.8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2005_0265_05L0070,58032,,Transmission,Splash,TAD,00:00:00 18-Sep-2005,-2.000000,1,0,,,,10,100,9.6,90.4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2005_0265_05L0070,58032,,Transmission,Splash,TAD,06:00:00 18-Sep-2005,-2.000000,4,0,,,,10,100,40,60,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2005_0265_05L0070,58032,,Transmission,Splash,TAD,12:00:00 18-Sep-2005,-2.000000,2,0,,,,10,100,38.6,61.4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2005_0265_05L0070,58032,,Transmission,Splash,TAD,18:00:00 18-Sep-2005,-2.000000,6,0,,,,10,100,4.2,95.8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2005_0265_05L0070,58032,,Transmission,Splash,TAD,00:00:00 19-Sep-2005,-2.000000,7,0,,,,10,100,29.4,70.6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
