DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
PV2015_1008_14U0371,143961,UT,18:06:53 09-Sep-2015,,,1,53.7042,-166.5618,CRC 9.12,18:06:53 09-Sep-2015,Status,9,0,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14U0371,143961,UT,18:05:20 09-Sep-2015,,,1,53.7034,-166.5648,CRC 7.152,11:14:40 21-Sep-2015,Status,64,240,123,76,87,232,99,145,26,172,234,14,154,0,2,134,145,254,135,111,137,0,0,,,,,,,,,
PV2015_1008_14U0371,143961,UT,18:00:59 10-Sep-2015,,,B,53.7247,-166.5638,CRC (both failed),23:00:00 08-Sep-2015,Percent,42,229,32,238,224,128,0,238,224,238,224,226,255,250,57,96,229,23,0,0,0,0,0,0,0,0,0,0,0,14,134,
PV2015_1008_14U0371,143961,UT,16:34:48 16-Sep-2015,,,A,53.7288,-166.4868,CRC 156.118,16:34:57 16-Sep-2015,Status,83,144,84,179,168,23,62,81,120,66,46,83,150,1,185,22,143,255,28,197,32,0,0,,,,,,,,,
PV2015_1008_14U0371,143961,UT,18:10:14 16-Sep-2015,,,B,53.6723,-166.5151,CRC 8.10,18:10:14 16-Sep-2015,Status,24,96,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14U0371,143961,UT,02:01:42 20-Sep-2015,,,,,,CRC (both failed),,,42,230,32,30,238,238,238,238,238,238,238,236,255,105,214,138,233,60,116,183,6,194,73,171,162,8,98,77,31,229,94,
PV2015_1008_14U0371,143961,UT,04:15:20 21-Sep-2015,,,,,,CRC (both failed),,,42,230,64,169,238,238,238,238,238,238,238,232,104,255,170,196,25,136,245,230,255,241,95,235,30,64,5,223,248,148,219,
PV2015_1008_14U0371,143961,UT,20:04:53 23-Sep-2015,,,A,53.7196,-166.5711,CRC 4.7,,,100,68,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14U0371,143961,UT,17:51:45 27-Sep-2015,,,B,53.6692,-166.6938,CRC (both failed),00:00:00 24-Sep-2015,Percent,42,231,32,255,255,242,238,238,238,142,238,232,0,238,4,83,231,0,255,255,243,238,238,238,238,238,224,230,255,88,6,
PV2015_1008_14U0371,143961,UT,17:53:17 27-Sep-2015,,,B,53.6692,-166.6938,CRC 179.153,17:53:27 27-Sep-2015,Status,86,112,84,179,168,22,62,81,125,199,86,214,206,4,203,20,97,255,28,193,144,0,0,,,,,,,,,
PV2015_1008_14U0371,143961,UT,18:57:01 08-Oct-2015,,,B,53.7214,-166.3708,CRC (both failed),00:00:00 06-Oct-2015,Percent,42,232,160,206,30,236,238,78,206,238,239,1,95,255,175,19,232,192,255,244,14,238,238,224,238,238,238,14,95,255,185,
PV2015_1008_14U0371,143961,UT,02:01:45 14-Oct-2015,,,B,53.6902,-166.5783,CRC (both failed),00:00:00 08-Oct-2015,Percent,42,233,96,247,238,238,238,238,254,238,238,224,0,0,14,181,233,0,175,248,238,238,238,238,238,238,224,54,228,255,95,
PV2015_1008_14U0371,143961,UT,22:04:08 16-Oct-2015,,,,,,CRC (both failed),,,42,233,160,175,46,238,238,238,238,238,238,238,63,255,255,161,233,68,253,240,238,239,238,238,238,238,206,14,14,226,172,
PV2015_1008_14U0371,143961,UT,22:04:08 16-Oct-2015,,,,,,CRC (both failed),,,42,233,160,175,46,238,220,201,153,155,153,153,137,136,129,152,153,254,16,12,11,64,8,25,26,153,209,115,119,81,137,
PV2015_1008_14U0371,143961,UT,19:46:51 18-Oct-2015,,,A,53.7212,-166.5354,CRC (both failed),00:00:00 17-Oct-2015,Percent,42,234,0,238,238,238,238,238,238,236,238,238,47,248,161,208,234,32,14,238,238,238,238,238,238,238,238,225,249,255,249,
