DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
PV2015_1008_14U0371,143961,UT,Weak,08-Sep-2015,23:00:00,08-Sep-2015,22:59:50
PV2015_1008_14U0371,143961,UT,Strong,10-Sep-2015,04:57:04,10-Sep-2015,04:56:55
PV2015_1008_14U0371,143961,UT,Strong,08-Oct-2015,21:56:07,08-Oct-2015,21:55:57
PV2015_1008_14U0371,143961,UT,Strong,30-Nov-2015,20:38:00,30-Nov-2015,20:38:06
PV2015_1008_14U0371,143961,UT,Strong,22-Jan-2016,07:45:10,22-Jan-2016,07:45:51
PV2015_1008_14U0371,143961,UT,Strong,09-Mar-2016,02:07:21,09-Mar-2016,02:08:37
