DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
PV2015_1008_14U0371,143961,0.500000,Transmission,UT,Percent,23:00:00 08-Sep-2015,-10.000000,6,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14U0371,143961,0.500000,Transmission,UT,Percent,00:00:00 09-Sep-2015,-10.000000,8,,,,,24,,0,0,0,3,3,3,3,3,0,0,0,3,0,0,0,3,0,20,100,100,100,98,30,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14U0371,143961,0.500000,Transmission,UT,Percent,00:00:00 10-Sep-2015,-9.000000,7,,,,,24,,98,100,100,100,100,100,20,0,0,0,0,0,0,0,0,3,60,100,80,100,100,98,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14U0371,143961,0.500000,Transmission,UT,Percent,00:00:00 11-Sep-2015,-9.000000,4,,,,,24,,100,50,100,100,80,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,80,100,98,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14U0371,143961,0.500000,Transmission,UT,Percent,00:00:00 12-Sep-2015,-9.000000,2,,,,,24,,100,100,100,100,100,100,30,0,0,0,0,0,0,0,0,0,0,0,60,100,100,10,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14U0371,143961,0.500000,Transmission,UT,Percent,00:00:00 13-Sep-2015,-9.000000,4,,,,,24,,100,100,100,100,100,70,0,0,0,0,0,0,0,0,0,0,0,10,100,100,70,3,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14U0371,143961,0.500000,Transmission,UT,Percent,00:00:00 14-Sep-2015,-9.000000,3,,,,,24,,98,98,100,100,100,100,30,0,0,0,0,0,0,0,3,3,0,50,40,10,3,40,98,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14U0371,143961,0.500000,Transmission,UT,Percent,00:00:00 15-Sep-2015,-9.000000,3,,,,,24,,50,80,100,100,100,100,100,40,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14U0371,143961,0.500000,Transmission,UT,Percent,00:00:00 16-Sep-2015,-9.000000,4,,,,,24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,100,100,100,100,98,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14U0371,143961,0.500000,Transmission,UT,Percent,00:00:00 17-Sep-2015,-9.000000,2,,,,,24,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,100,100,90,100,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
