DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
PV2015_1008_14U0371,143961,UT,18:57:00 08-Oct-2015,Argos,B,53.7214,-166.3708,6222,33049,1171,86,,,,,,
PV2015_1008_14U0371,143961,UT,21:55:57 08-Oct-2015,Argos,B,53.7294,-166.5149,5143,28964,913,76,,,,,,
PV2015_1008_14U0371,143961,UT,22:32:17 12-Oct-2015,Argos,B,53.7157,-166.5494,5157,492999,53,102,,,,,,
PV2015_1008_14U0371,143961,UT,02:09:04 13-Oct-2015,Argos,B,53.6974,-166.4996,6888,53567,885,101,,,,,,
PV2015_1008_14U0371,143961,UT,18:53:06 13-Oct-2015,Argos,B,53.6769,-166.4129,4958,18202,1350,81,,,,,,
PV2015_1008_14U0371,143961,UT,18:56:52 13-Oct-2015,Argos,A,53.7048,-166.5810,232,385,139,52,,,,,,
PV2015_1008_14U0371,143961,UT,02:00:48 14-Oct-2015,Argos,B,53.6902,-166.5783,1277,6299,258,174,,,,,,
PV2015_1008_14U0371,143961,UT,18:28:12 14-Oct-2015,Argos,1,53.7193,-166.5828,803,1670,386,104,,,,,,
PV2015_1008_14U0371,143961,UT,18:32:00 14-Oct-2015,Argos,B,53.7156,-166.5529,389,1016,148,95,,,,,,
PV2015_1008_14U0371,143961,UT,22:52:21 14-Oct-2015,Argos,B,53.7206,-166.5428,10714,19684,5831,88,,,,,,
PV2015_1008_14U0371,143961,UT,19:42:08 18-Oct-2015,Argos,A,53.7212,-166.5354,190,293,122,152,,,,,,
PV2015_1008_14U0371,143961,UT,20:27:30 18-Oct-2015,Argos,B,53.7018,-166.5679,655,8616,49,115,,,,,,
PV2015_1008_14U0371,143961,UT,23:19:07 18-Oct-2015,Argos,A,53.7107,-166.5623,191,411,88,93,,,,,,
PV2015_1008_14U0371,143961,UT,20:07:03 19-Oct-2015,Argos,B,53.6587,-166.7521,3798,11772,1225,76,,,,,,
PV2015_1008_14U0371,143961,UT,19:48:09 20-Oct-2015,Argos,A,53.7526,-166.5576,292,423,201,163,,,,,,
PV2015_1008_14U0371,143961,UT,21:47:27 24-Oct-2015,Argos,B,53.7582,-166.7144,3733,339975,41,107,,,,,,
PV2015_1008_14U0371,143961,UT,23:57:44 24-Oct-2015,Argos,B,53.7056,-166.5480,1581,3321,752,85,,,,,,
PV2015_1008_14U0371,143961,UT,15:00:52 28-Oct-2015,Argos,B,53.7411,-166.6569,7339,557606,96,109,,,,,,
PV2015_1008_14U0371,143961,UT,17:18:05 29-Oct-2015,Argos,B,53.7269,-166.6590,14779,,,,,,,,,
PV2015_1008_14U0371,143961,UT,17:18:52 29-Oct-2015,Argos,B,53.7107,-166.5684,3703,112356,122,100,,,,,,
PV2015_1008_14U0371,143961,UT,21:37:31 29-Oct-2015,Argos,B,53.6818,-166.4857,2754,6610,1147,95,,,,,,
PV2015_1008_14U0371,143961,UT,21:03:09 31-Oct-2015,Argos,A,53.7101,-166.5998,384,6278,23,94,,,,,,
PV2015_1008_14U0371,143961,UT,22:33:59 31-Oct-2015,Argos,B,53.6992,-166.5806,1337,2507,713,90,,,,,,
PV2015_1008_14U0371,143961,UT,21:35:47 01-Nov-2015,Argos,B,53.7197,-166.5807,3855,30862,481,100,,,,,,
PV2015_1008_14U0371,143961,UT,22:17:57 01-Nov-2015,Argos,B,53.6965,-166.4738,3520,20922,592,97,,,,,,
PV2015_1008_14U0371,143961,UT,18:59:06 02-Nov-2015,Argos,B,53.7347,-166.5428,2266,37351,137,154,,,,,,
PV2015_1008_14U0371,143961,UT,17:29:06 03-Nov-2015,Argos,A,53.6878,-166.4570,956,36085,25,102,,,,,,
PV2015_1008_14U0371,143961,UT,20:37:53 06-Nov-2015,Argos,B,53.7485,-166.4827,3512,219724,56,62,,,,,,
PV2015_1008_14U0371,143961,UT,20:12:12 07-Nov-2015,Argos,2,53.7129,-166.5785,292,573,148,101,,,,,,
PV2015_1008_14U0371,143961,UT,02:45:31 08-Nov-2015,Argos,B,53.7057,-166.5794,4519,6858,2977,72,,,,,,
PV2015_1008_14U0371,143961,UT,18:11:10 08-Nov-2015,Argos,A,53.7122,-166.5906,166,290,94,107,,,,,,
PV2015_1008_14U0371,143961,UT,18:14:57 08-Nov-2015,Argos,A,53.7103,-166.5948,170,278,103,85,,,,,,
PV2015_1008_14U0371,143961,UT,22:44:12 08-Nov-2015,Argos,B,53.6959,-166.6058,2141,4036,1135,90,,,,,,
PV2015_1008_14U0371,143961,UT,23:13:33 08-Nov-2015,Argos,B,53.6994,-166.5950,1942,4424,852,103,,,,,,
PV2015_1008_14U0371,143961,UT,22:25:29 13-Nov-2015,Argos,B,53.7118,-166.8053,3161,355469,28,89,,,,,,
PV2015_1008_14U0371,143961,UT,23:11:30 13-Nov-2015,Argos,B,53.7145,-166.7249,3759,37151,380,90,,,,,,
PV2015_1008_14U0371,143961,UT,21:10:49 14-Nov-2015,Argos,1,53.7111,-166.5822,1180,8727,159,99,,,,,,
PV2015_1008_14U0371,143961,UT,23:10:21 18-Nov-2015,Argos,B,53.6806,-166.5550,15976,239872,1064,135,,,,,,
PV2015_1008_14U0371,143961,UT,22:25:42 19-Nov-2015,Argos,B,53.6823,-166.5564,20567,47462,8912,62,,,,,,
PV2015_1008_14U0371,143961,UT,02:01:55 20-Nov-2015,Argos,B,53.6917,-166.5034,2597,99095,68,105,,,,,,
PV2015_1008_14U0371,143961,UT,02:45:59 20-Nov-2015,Argos,B,53.6847,-166.4793,2406,12988,445,104,,,,,,
PV2015_1008_14U0371,143961,UT,20:00:19 20-Nov-2015,Argos,B,53.6897,-166.3288,3785,11071,1293,77,,,,,,
PV2015_1008_14U0371,143961,UT,20:51:31 20-Nov-2015,Argos,A,53.7113,-166.6186,457,2338,89,92,,,,,,
PV2015_1008_14U0371,143961,UT,21:39:52 20-Nov-2015,Argos,B,53.7162,-166.6724,3407,5861,1980,91,,,,,,
PV2015_1008_14U0371,143961,UT,20:25:38 21-Nov-2015,Argos,B,53.7162,-166.5886,3770,104377,136,124,,,,,,
PV2015_1008_14U0371,143961,UT,03:31:36 22-Nov-2015,Argos,B,53.7313,-166.9287,2807,6008,1311,92,,,,,,
PV2015_1008_14U0371,143961,UT,19:04:23 22-Nov-2015,Argos,B,53.6844,-166.7344,10943,114640,1044,93,,,,,,
PV2015_1008_14U0371,143961,UT,21:42:27 27-Nov-2015,Argos,A,53.7223,-166.5686,169,572,50,97,,,,,,
PV2015_1008_14U0371,143961,UT,21:01:51 29-Nov-2015,Argos,B,53.7067,-166.5962,1551,43893,54,77,,,,,,
PV2015_1008_14U0371,143961,UT,19:06:07 30-Nov-2015,Argos,B,53.7154,-166.6003,4662,11058,1965,83,,,,,,
PV2015_1008_14U0371,143961,UT,19:06:07 30-Nov-2015,Argos,B,53.7157,-166.6004,4606,11346,1870,83,,,,,,
