,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
PV2016_3021_15A0891,22-Sep-2016,11:52:14,4,2.000000,41,,0,9,52.6888,173.3222,11:52:14.690002 22-Sep-2016,FastGPS,52.6888,173.3222,,,11.0,-1.3,,,,15,15,22660,,,,18,15319,,,,24,16962,,,,20,16576,,,,4,26430,,,,13,23962,,,,28,13639,,,,17,28426,,,,5,16954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,22-Sep-2016,14:55:05,10,2.000000,42,6,0,8,52.6375,173.3095,14:55:06.630002 22-Sep-2016,FastGPS,52.6375,173.3095,,,10.0,-0.4,,,,15,12,168,,,,25,25608,,,,24,19004,,,,32,1690,,,,15,94,,,,19,205,,,,14,27650,,,,17,22710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,22-Sep-2016,17:55:41,7,2.000000,43,,0,9,52.7221,173.2827,17:55:43.190002 22-Sep-2016,FastGPS,52.7221,173.2827,,,6.9,0.2,,,,15,29,13808,,,,25,31960,,,,31,2499,,,,12,8650,,,,32,22343,,,,2,31457,,,,23,6415,,,,21,13293,,,,14,30662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,22-Sep-2016,21:11:01,1,2.000000,44,7,0,7,52.8369,173.2016,21:11:02.200002 22-Sep-2016,FastGPS,52.8369,173.2016,,,4.0,-0.8,,,,15,26,10335,,,,27,14996,,,,21,19676,,,,18,15822,,,,16,29763,,,,20,1701,,,,29,16500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,23-Sep-2016,00:12:12,3,2.000000,45,,0,9,52.8385,173.2045,00:12:14.220002 23-Sep-2016,FastGPS,52.8385,173.2045,,,13.7,0.2,,,,15,8,20425,,,,10,2300,,,,11,16414,,,,32,25333,,,,27,21082,,,,1,8420,,,,18,25420,,,,22,32473,,,,28,28316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,23-Sep-2016,03:12:00,2,2.000000,46,7,0,8,52.8384,173.2041,03:12:01.740002 23-Sep-2016,FastGPS,52.8384,173.2041,,,4.7,-0.3,,,,15,1,7012,,,,11,24983,,,,3,15422,,,,14,19298,,,,22,6550,,,,23,24196,,,,17,10427,,,,32,28877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,23-Sep-2016,06:12:01,3,2.000000,47,7,0,7,52.8316,173.2240,06:12:03.210001 23-Sep-2016,FastGPS,52.8316,173.2240,,,3.2,0.2,,,,15,6,5411,,,,19,28920,,,,9,29997,,,,23,19414,,,,2,18090,,,,7,28871,,,,17,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,23-Sep-2016,09:16:44,4,2.000000,48,7,0,8,52.7520,173.4148,09:16:46.220001 23-Sep-2016,FastGPS,52.7520,173.4148,,,13.2,0.2,,,,15,4,20447,,,,5,3281,,,,13,3056,,,,7,12397,,,,30,19812,,,,2,13344,,,,9,27670,,,,15,8938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,23-Sep-2016,12:18:01,2,2.000000,49,7,0,7,52.7653,173.5502,12:18:02.250001 23-Sep-2016,FastGPS,52.7653,173.5502,,,4.8,-0.7,,,,15,15,31749,,,,24,15491,,,,13,30403,,,,4,3421,,,,20,31900,,,,28,21217,,,,17,3958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,23-Sep-2016,15:19:06,1,2.000000,50,7,0,5,52.7187,173.5505,15:19:07.270001 23-Sep-2016,FastGPS,52.7187,173.5505,,,1.5,-0.7,,,,15,12,19094,,,,32,2014,,,,25,27415,,,,24,19963,,,,14,13268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,23-Sep-2016,18:19:27,2,2.000000,51,7,0,8,52.6810,173.4849,18:19:28.780001 23-Sep-2016,FastGPS,52.6810,173.4849,,,5.0,-0.2,,,,15,25,777,,,,31,31896,,,,29,19931,,,,21,470,,,,14,13552,,,,2,12762,,,,26,9932,,,,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,23-Sep-2016,21:20:10,1,2.000000,52,7,0,6,52.6570,173.5825,21:20:10.770001 23-Sep-2016,FastGPS,52.6570,173.5825,,,8.2,-1.2,,,,15,26,12555,,,,27,11912,,,,16,29518,,,,18,18775,,,,7,31097,,,,21,25490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,24-Sep-2016,00:23:06,1,2.000000,53,7,0,8,52.6555,173.6481,00:23:08.265002 24-Sep-2016,FastGPS,52.6555,173.6481,,,3.8,0.3,,,,15,28,21122,,,,1,4856,,,,30,11475,,,,11,4936,,,,8,28920,,,,27,20649,,,,31,25431,,,,20,23739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,24-Sep-2016,03:24:48,7,2.000000,54,7,0,8,52.6767,173.7431,03:24:49.810001 24-Sep-2016,FastGPS,52.6767,173.7431,,,10.6,-0.2,,,,15,23,28859,,,,3,24811,,,,11,23156,,,,1,32048,,,,17,2842,,,,22,20990,,,,14,15432,,,,32,24806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,24-Sep-2016,06:26:37,6,2.000000,55,7,0,7,52.6621,173.8616,06:26:37.800001 24-Sep-2016,FastGPS,52.6621,173.8616,,,4.0,-1.2,,,,15,6,3234,,,,2,8016,,,,9,6272,,,,7,18670,,,,19,16566,,,,23,19094,,,,5,9528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,24-Sep-2016,09:26:00,3,2.000000,56,7,0,6,52.7220,173.9929,09:26:00.810001 24-Sep-2016,FastGPS,52.7220,173.9929,,,2.3,-1.2,,,,15,4,24028,,,,5,21084,,,,13,26625,,,,30,2778,,,,7,31346,,,,2,7546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,24-Sep-2016,12:28:00,2,2.000000,57,7,0,8,52.7188,174.0397,12:28:01.320002 24-Sep-2016,FastGPS,52.7188,174.0397,,,10.9,-0.7,,,,15,10,4998,,,,28,18592,,,,24,20233,,,,15,24929,,,,4,24110,,,,18,30797,,,,17,19650,,,,13,28157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,24-Sep-2016,15:28:00,3,2.000000,58,,0,9,52.6661,174.0056,15:28:00.850001 24-Sep-2016,FastGPS,52.6661,174.0056,,,6.4,-1.1,,,,15,32,18396,,,,25,31936,,,,10,9436,,,,12,16942,,,,14,26115,,,,29,94,,,,31,15972,,,,24,17736,,,,2,27171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,24-Sep-2016,18:31:10,5,2.000000,59,7,0,7,52.6240,173.9135,18:31:11.330002 24-Sep-2016,FastGPS,52.6240,173.9135,,,10.8,-0.7,,,,15,31,19312,,,,21,18737,,,,25,10347,,,,29,28686,,,,26,20161,,,,2,24992,,,,19,19157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,24-Sep-2016,21:32:39,5,2.000000,60,,0,9,52.5814,173.9254,21:32:40.840002 24-Sep-2016,FastGPS,52.5814,173.9254,,,15.5,-0.2,,,,15,27,9577,,,,26,28890,,,,16,17972,,,,10,20202,,,,18,20566,,,,21,16316,,,,8,1223,,,,7,3500,,,,3,11496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,25-Sep-2016,00:47:59,4,2.000000,61,8,0,8,52.6049,174.0326,00:48:00.340002 25-Sep-2016,FastGPS,52.6049,174.0326,,,6.9,-0.7,,,,15,8,8731,,,,11,13713,,,,27,24111,,,,1,501,,,,32,22679,,,,22,18224,,,,10,12035,,,,3,15097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,25-Sep-2016,03:52:48,2,2.000000,62,,0,9,52.6137,173.9862,03:52:49.370001 25-Sep-2016,FastGPS,52.6137,173.9862,,,13.8,-0.6,,,,15,22,4688,,,,19,27460,,,,31,26029,,,,3,24186,,,,23,22546,,,,14,23179,,,,1,6666,,,,17,30881,,,,6,23672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,25-Sep-2016,06:54:10,3,2.000000,63,8,0,8,52.6555,173.7982,06:54:11.360001 25-Sep-2016,FastGPS,52.6555,173.7982,,,12.0,-0.6,,,,15,7,10013,,,,23,29375,,,,9,14074,,,,6,23500,,,,30,16859,,,,2,9516,,,,29,31674,,,,5,15814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,25-Sep-2016,13:15:46,6,2.000000,65,,0,9,52.7583,173.5904,13:15:47.890001 25-Sep-2016,FastGPS,52.7583,173.5904,,,5.6,-0.1,,,,15,17,9191,,,,19,23584,,,,13,19146,,,,28,16873,,,,10,8098,,,,24,32189,,,,18,13092,,,,4,29654,,,,15,10567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,25-Sep-2016,16:19:00,4,2.000000,66,,0,9,52.7907,173.3752,16:19:02.400002 25-Sep-2016,FastGPS,52.7907,173.3752,,,3.1,0.4,,,,15,12,27662,,,,2,8539,,,,24,5157,,,,31,21486,,,,32,189,,,,6,29093,,,,25,30043,,,,29,26742,,,,14,30764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,25-Sep-2016,19:19:00,4,2.000000,67,,0,9,52.8090,173.3117,19:19:00.890002 25-Sep-2016,FastGPS,52.8090,173.3117,,,6.7,-1.1,,,,15,29,28243,,,,26,19114,,,,16,18298,,,,21,23041,,,,31,16523,,,,23,4840,,,,27,18544,,,,9,25882,,,,25,26726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,25-Sep-2016,22:19:00,2,2.000000,68,,1,9,52.8145,173.2854,22:19:01.910001 25-Sep-2016,FastGPS,52.8145,173.2854,,,8.1,-0.1,,,,15,27,30574,,,,8,10726,,,,7,29617,,,,11,23402,,,,10,31671,,,,18,26339,,,,16,13066,,,,21,17252,,,,26,23412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,26-Sep-2016,08:04:07,4,2.000000,69,9,0,7,52.8149,173.2850,08:04:08.920001 26-Sep-2016,FastGPS,52.8149,173.2850,,,6.6,-0.1,,,,15,7,10253,,,,2,7226,,,,30,30209,,,,9,3879,,,,4,1315,,,,5,7304,,,,29,5878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,26-Sep-2016,11:06:08,5,2.000000,70,9,0,7,52.8382,173.2045,11:06:08.930001 26-Sep-2016,FastGPS,52.8382,173.2045,,,7.2,-1.1,,,,15,4,23806,,,,13,16085,,,,28,66,,,,15,10511,,,,30,15870,,,,20,23470,,,,5,13523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,26-Sep-2016,14:22:00,5,2.000000,71,10,0,8,52.8360,173.2045,14:22:00.950001 26-Sep-2016,FastGPS,52.8360,173.2045,,,3.1,-1.0,,,,15,32,23617,,,,17,8239,,,,19,25400,,,,24,22600,,,,12,13234,,,,15,15185,,,,10,4081,,,,25,28098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,26-Sep-2016,17:22:00,5,2.000000,72,,1,9,52.8362,173.2044,17:22:00.940001 26-Sep-2016,FastGPS,52.8362,173.2044,,,4.1,-1.1,,,,15,12,29148,,,,31,24696,,,,29,13700,,,,25,18514,,,,32,13997,,,,14,24670,,,,2,5351,,,,21,23171,,,,18,17056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,26-Sep-2016,20:22:00,5,2.000000,73,10,1,8,52.8299,173.2006,20:22:00.940001 26-Sep-2016,FastGPS,52.8299,173.2006,,,5.4,-1.1,,,,15,16,13576,,,,27,32252,,,,26,6747,,,,31,25539,,,,20,11140,,,,21,13860,,,,29,12779,,,,18,31268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,26-Sep-2016,23:22:00,4,2.000000,74,,0,9,52.8299,173.1999,23:22:00.970001 26-Sep-2016,FastGPS,52.8299,173.1999,,,8.2,-1.0,,,,15,10,16659,,,,27,22763,,,,8,13212,,,,11,9200,,,,16,25974,,,,18,13406,,,,7,8532,,,,1,19986,,,,30,22596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,27-Sep-2016,02:25:20,1,2.000000,75,10,0,8,52.8383,173.2044,02:25:20.960001 27-Sep-2016,FastGPS,52.8383,173.2044,,,5.8,-1.0,,,,15,1,29068,,,,22,16406,,,,17,29980,,,,11,32438,,,,3,4364,,,,32,2377,,,,19,18240,,,,14,22528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,27-Sep-2016,05:25:10,2,2.000000,76,10,0,4,52.8378,173.2067,17:47:39.490001 27-Sep-2016,FastGPS,52.8377,173.2045,,,1.1,-0.5,,,,15,2,2587,,,,19,8231,,,,6,5306,,,,31,16100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,27-Sep-2016,17:47:37,5,2.000000,80,,0,9,52.8378,173.2067,17:47:39.490001 27-Sep-2016,FastGPS,52.8378,173.2067,,,8.2,0.5,,,,15,29,30568,,,,25,15607,,,,31,31043,,,,23,28463,,,,26,28184,,,,2,21920,,,,32,12612,,,,12,3159,,,,14,6266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,28-Sep-2016,00:11:01,3,2.000000,82,11,0,7,52.8367,173.2002,00:11:03.51 28-Sep-2016,FastGPS,52.8367,173.2002,,,5.1,0.5,,,,15,8,21645,,,,10,1691,,,,11,13743,,,,1,15961,,,,32,37,,,,22,28456,,,,28,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,28-Sep-2016,03:26:02,2,2.000000,83,12,0,8,52.8359,173.1995,03:26:03.020001 28-Sep-2016,FastGPS,52.8359,173.1995,,,5.3,-1.0,,,,15,19,32113,,,,22,24468,,,,3,24491,,,,23,28934,,,,17,22692,,,,1,10745,,,,31,23067,,,,6,26225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,28-Sep-2016,06:27:12,3,2.000000,84,,0,9,52.7613,173.2325,06:27:14.030001 28-Sep-2016,FastGPS,52.7613,173.2325,,,10.6,0.0,,,,15,9,16446,,,,26,16483,,,,23,23605,,,,2,5665,,,,7,5740,,,,6,5126,,,,5,10464,,,,3,17330,,,,29,18372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,28-Sep-2016,09:27:33,6,2.000000,85,12,0,8,52.7044,173.2493,09:27:35.530001 28-Sep-2016,FastGPS,52.7044,173.2493,,,5.8,0.5,,,,15,30,11299,,,,7,680,,,,28,30970,,,,20,22685,,,,5,6212,,,,13,9150,,,,4,7522,,,,15,21241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,28-Sep-2016,12:29:34,3,2.000000,86,12,0,7,52.6962,173.2417,12:29:35.550001 28-Sep-2016,FastGPS,52.6962,173.2417,,,5.0,-0.4,,,,15,13,3940,,,,4,20688,,,,12,19480,,,,20,16498,,,,17,32669,,,,18,17470,,,,19,17325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,28-Sep-2016,15:30:00,4,2.000000,87,12,0,8,52.6945,173.2424,15:30:01.080001 28-Sep-2016,FastGPS,52.6945,173.2424,,,9.8,-0.9,,,,15,25,11929,,,,12,31286,,,,32,31821,,,,24,17982,,,,29,23902,,,,14,22504,,,,19,26650,,,,2,13650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,28-Sep-2016,18:30:00,4,2.000000,88,12,0,8,52.7817,173.2369,18:30:01.070001 28-Sep-2016,FastGPS,52.7817,173.2369,,,5.2,-0.9,,,,15,29,11267,,,,31,14987,,,,25,28066,,,,21,9287,,,,26,15633,,,,5,17674,,,,23,18299,,,,2,14284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,29-Sep-2016,00:31:51,2,2.000000,90,12,0,8,52.7987,173.2269,00:31:52.570001 29-Sep-2016,FastGPS,52.7987,173.2269,,,6.9,-0.4,,,,15,8,788,,,,11,10000,,,,1,30560,,,,27,11462,,,,22,12114,,,,10,2359,,,,32,11507,,,,3,11545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,29-Sep-2016,03:48:09,4,3.000000,91,,0,9,52.7989,173.2270,03:48:11.600001 29-Sep-2016,FastGPS,52.7989,173.2270,,,10.7,-0.4,,,,15,17,12503,,,,3,26407,,,,19,28204,,,,22,22924,,,,23,6720,,,,9,27033,,,,6,24784,,,,11,1834,,,,15,28139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,29-Sep-2016,06:49:00,2,3.000000,92,,0,9,52.7683,173.2368,06:49:02.110001 29-Sep-2016,FastGPS,52.7683,173.2368,,,7.4,-0.9,,,,15,4,16062,,,,5,18486,,,,2,9483,,,,30,16723,,,,6,13952,,,,7,28164,,,,29,5196,,,,9,12075,,,,16,10012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,29-Sep-2016,09:49:33,2,3.000000,93,,0,9,52.7133,173.2413,09:49:35.090001 29-Sep-2016,FastGPS,52.7133,173.2413,,,12.9,-0.9,,,,15,4,4761,,,,21,17894,,,,13,20037,,,,15,9058,,,,5,16723,,,,20,18757,,,,7,25847,,,,27,9189,,,,30,15097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,29-Sep-2016,12:49:00,2,3.000000,94,,0,9,52.7453,173.2377,12:49:02.130001 29-Sep-2016,FastGPS,52.7453,173.2377,,,3.7,-0.9,,,,15,13,1736,,,,19,27654,,,,15,11705,,,,4,11377,,,,17,894,,,,28,28389,,,,12,23774,,,,24,28126,,,,10,3328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,29-Sep-2016,15:49:00,3,3.000000,95,,0,9,52.8369,173.2048,15:49:02.160001 29-Sep-2016,FastGPS,52.8369,173.2048,,,10.8,-0.8,,,,15,12,32267,,,,25,23882,,,,29,6338,,,,32,27052,,,,24,2134,,,,31,10334,,,,22,12784,,,,6,970,,,,2,17322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,29-Sep-2016,21:49:00,2,3.000000,97,13,1,7,52.8361,173.2001,21:49:02.110001 29-Sep-2016,FastGPS,52.8361,173.2001,,,3.9,-0.9,,,,15,21,10674,,,,7,4602,,,,18,1418,,,,8,10443,,,,27,1865,,,,16,27231,,,,20,27322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,30-Sep-2016,01:57:22,1,3.000000,98,13,0,7,52.8366,173.2005,01:57:24.150001 30-Sep-2016,FastGPS,52.8366,173.2005,,,5.9,-0.8,,,,15,11,17333,,,,1,20834,,,,3,9582,,,,32,18700,,,,22,16175,,,,14,55,,,,19,25528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,30-Sep-2016,04:59:38,1,3.000000,99,13,0,8,52.8012,173.2101,04:59:40.160001 30-Sep-2016,FastGPS,52.8012,173.2101,,,9.5,-0.8,,,,15,6,12311,,,,2,15235,,,,19,16657,,,,17,11167,,,,9,19836,,,,22,18910,,,,23,22929,,,,12,21693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
