,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
PV2016_3021_15A0891,21-Sep-2016,03:18:00,17,2.000000,31,5,0,5,52.8383,173.2435,03:18:01.82 21-Sep-2016,FastGPS,52.8383,173.2435,,,4.5,-0.2,,,,15,11,15850,,,,3,28036,,,,23,29630,,,,22,23262,,,,17,21131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,21-Sep-2016,06:18:00,11,2.000000,32,,0,9,52.8383,173.2048,06:18:01.62 21-Sep-2016,FastGPS,52.8383,173.2048,,,9.1,-0.4,,,,15,9,5596,,,,6,14865,,,,23,586,,,,3,25923,,,,17,20812,,,,7,28570,,,,19,15293,,,,2,20587,,,,22,3908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,21-Sep-2016,09:19:54,4,2.000000,33,,0,9,52.7936,173.2373,09:19:55.620001 21-Sep-2016,FastGPS,52.7936,173.2373,,,7.9,-0.4,,,,15,4,17144,,,,5,6400,,,,13,25548,,,,2,6171,,,,9,18986,,,,20,7717,,,,15,26765,,,,7,28496,,,,30,23805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,21-Sep-2016,12:20:57,2,2.000000,34,,0,9,52.7436,173.2475,12:20:58.610001 21-Sep-2016,FastGPS,52.7436,173.2475,,,7.3,-0.4,,,,15,15,30678,,,,20,15360,,,,4,17323,,,,28,30388,,,,17,15075,,,,5,29162,,,,24,32103,,,,13,7045,,,,10,1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,21-Sep-2016,15:25:20,3,2.000000,35,5,0,8,52.7426,173.2464,15:25:21.640001 21-Sep-2016,FastGPS,52.7426,173.2464,,,13.9,-0.4,,,,15,24,786,,,,32,9979,,,,25,32488,,,,12,28794,,,,17,17194,,,,19,21278,,,,6,3491,,,,10,11840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,21-Sep-2016,18:26:13,3,2.000000,36,5,0,7,52.8289,173.2017,18:26:15.130001 21-Sep-2016,FastGPS,52.8289,173.2017,,,4.5,0.1,,,,15,25,21663,,,,2,2372,,,,26,24566,,,,12,22279,,,,23,11974,,,,29,5784,,,,31,17730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,21-Sep-2016,21:26:00,7,2.000000,37,5,1,7,52.8362,173.2001,21:26:01.660002 21-Sep-2016,FastGPS,52.8362,173.2001,,,6.1,-0.3,,,,15,20,17354,,,,16,23240,,,,21,22723,,,,26,10540,,,,8,29440,,,,27,1200,,,,18,3155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,22-Sep-2016,02:36:00,8,2.000000,38,,0,9,52.8363,173.2009,02:36:01.690001 22-Sep-2016,FastGPS,52.8363,173.2009,,,8.1,-0.3,,,,15,32,28472,,,,11,25639,,,,14,24324,,,,1,5715,,,,22,11004,,,,3,13184,,,,19,7246,,,,8,25630,,,,28,23640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,22-Sep-2016,05:36:05,7,2.000000,39,,0,9,52.8434,173.2029,05:36:06.680002 22-Sep-2016,FastGPS,52.8434,173.2029,,,6.4,-0.3,,,,15,3,6576,,,,31,6123,,,,23,16158,,,,6,15389,,,,2,23016,,,,22,30262,,,,9,23529,,,,25,22472,,,,17,22038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,22-Sep-2016,08:37:07,5,2.000000,40,,0,9,52.7738,173.2907,08:37:07.670002 22-Sep-2016,FastGPS,52.7738,173.2907,,,13.1,-1.3,,,,15,29,25979,,,,5,172,,,,4,5627,,,,13,26769,,,,30,25797,,,,2,19884,,,,6,13399,,,,9,26080,,,,20,16871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
