DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,08:12:57 05-Dec-2016,MB,B,52.6096,173.9035,52.6096,173.9035,8,,401677212,-131
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,379,379,08:55:10 05-Dec-2016,MA,B,52.5711,173.9151,52.5711,173.9151,7,,401677224,-128
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,15:21:40 05-Dec-2016,SR,B,52.3676,173.9965,52.3676,173.9965,8,,401677194,-133
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,475,475,15:36:06 05-Dec-2016,NP,B,52.3604,173.9015,52.3604,173.9015,8,,401677229,-128
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,16:37:28 05-Dec-2016,NK,B,52.4882,174.2648,52.4882,174.2648,8,,401677204,-133
PV2016_3021_15A0891,164825,Mk10,DS,2,0,2,338,338,16:50:55 05-Dec-2016,SR,B,52.5657,174.2173,52.5657,174.2173,6,,401677228,-136
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,17:20:36 05-Dec-2016,NP,B,52.5649,174.2177,52.5649,174.2177,6,,401677223,-125
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,17:49:15 05-Dec-2016,NN,B,52.5630,174.2155,52.5630,174.2155,6,,401677215,-137
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,336,336,18:14:19 05-Dec-2016,NK,B,52.5625,174.2158,52.5625,174.2158,6,,401677212,-128
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,348,348,18:35:05 05-Dec-2016,SR,B,52.5716,174.1744,52.5716,174.1744,6,,401677233,-127
PV2016_3021_15A0891,164825,Mk10,DS,2,0,1,385,385,19:29:41 05-Dec-2016,NN,B,52.6039,174.1524,52.6039,174.1524,8,,401677227,-133
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,19:55:56 05-Dec-2016,NK,B,52.6035,174.1483,52.6035,174.1483,6,,401677234,-124
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,355,355,21:04:57 05-Dec-2016,MA,B,52.6018,174.0803,52.6018,174.0803,8,,401677220,-124
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,21:14:09 05-Dec-2016,NN,B,52.6096,174.1336,52.6096,174.1336,8,,401677244,-128
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,21:34:18 05-Dec-2016,NK,B,52.6107,174.1320,52.6107,174.1320,6,,401677246,-130
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,22:05:12 05-Dec-2016,MB,B,52.6134,174.1258,52.6134,174.1258,8,,401677236,-130
PV2016_3021_15A0891,164825,Mk10,DS,3,0,1,376,374,22:40:08 05-Dec-2016,MA,A,52.6686,174.0314,52.6686,174.0314,8,,401677228,-131
PV2016_3021_15A0891,164825,Mk10,DS,3,0,1,164,48,01:27:27 06-Dec-2016,NP,A,52.7449,173.9366,52.7449,173.9366,8,,401677209,-136
